sym	enstxids	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
BLCAP	ENST00000414542	34.21	31.06	35.86	35.79	67.72	30.11	69.49	18.75	47.0	18.39	70.14	24.19
BLM	ENST00000355112	5.14	3.4	2.64	4.74	1.0	3.9	6.18	3.49	1.77	2.28	1.0	4.45
BLOC1S2	ENST00000358848	13.4	17.72	16.29	18.16	28.45	15.46	38.64	81.76	29.01	31.99	37.29	61.96
BMPR1A	ENST00000224764	13.47	13.86	14.59	12.3	12.02	13.43	5.83	5.73	6.47	9.42	11.58	7.09
BMPR2	ENST00000374580	11.8	19.5	15.66	10.47	13.19	11.03	10.98	14.57	12.99	9.29	22.42	12.06
BNIP3L	ENST00000221209	45.82	77.61	86.36	52.75	103.25	57.05	80.85	138.8	145.39	94.36	107.85	118.7
BOD1	ENST00000311086	53.8	25.22	49.88	61.6	29.68	38.13	26.72	25.56	28.31	14.1	17.29	33.62
BOD1L	ENST00000040738	8.77	7.55	8.81	8.18	7.69	6.76	10.54	13.93	13.29	14.86	16.67	20.59
BOLA3	ENST00000327428	38.51	26.23	23.6	45.21	49.21	35.12	61.06	66.04	19.65	37.2	58.23	48.78
BOP1	ENST00000307404	14.78	5.89	6.94	13.56	6.94	9.79	10.62	7.92	5.6	10.98	4.81	7.69
BRCA1	ENST00000471181	8.72	8.9	4.86	6.57	1.0	9.39	5.8	6.25	3.95	4.88	1.0	9.06
BRD3	ENST00000303407	6.61	6.87	6.98	4.25	2.27	7.99	5.82	8.88	12.09	6.98	2.55	9.08
BRF2	ENST00000220659	7.73	6.46	7.08	8.25	10.01	6.63	10.45	12.71	19.16	12.49	16.97	10.01
BRI3	ENST00000297290	122.32	101.09	120.83	176.66	236.67	82.75	166.13	161.72	134.75	259.92	143.28	78.14
BRIP1	ENST00000259008	8.06	8.79	3.5	6.1	1.0	6.45	7.57	11.72	2.81	3.26	1.0	7.64
BRK1	ENST00000256463	100.46	142.71	124.78	129.86	281.41	154.92	112.15	150.12	108.42	88.95	144.62	139.57
BRP44L	ENST00000341756	16.51	15.67	23.37	19.66	23.79	12.82	49.52	31.32	36.15	20.8	44.79	30.0
BSCL2	ENST00000405837	23.78	21.8	31.67	24.2	33.86	18.12	19.87	10.12	14.43	13.8	14.46	7.9
BTF3	ENST00000380591	286.32	215.59	261.95	324.84	244.16	250.39	981.4	641.95	565.82	660.89	565.71	716.49
BTF3L4	ENST00000313334	16.74	14.63	15.64	15.85	10.44	12.14	115.19	101.91	55.4	58.6	72.36	101.25
BTG2	ENST00000290551	1.71	4.52	2.15	2.82	11.24	1.05	3.95	12.51	5.45	5.61	19.68	2.34
BTG3	ENST00000339775	24.12	26.5	17.07	23.57	23.54	23.21	35.87	42.96	14.37	15.78	37.76	33.6
BUB1	ENST00000302759	38.79	25.24	15.71	29.59	1.02	31.15	40.85	26.94	16.58	29.23	1.28	40.99
BUB1B	ENST00000412359	24.92	24.68	13.67	20.04	1.0	19.27	32.83	22.73	14.46	16.76	1.0	26.51
BUD31	ENST00000403633	46.02	48.52	42.35	49.4	62.79	54.23	84.17	80.3	55.24	49.25	65.35	102.4
BVES	ENST00000314641	6.02	4.77	7.19	6.41	7.83	12.62	5.37	7.26	7.45	7.88	26.09	26.68
C10orf116	ENST00000372013	40.33	45.96	61.94	47.84	113.77	23.46	157.04	321.97	139.37	100.72	335.7	90.19
C10orf26	ENST00000448841	15.6	17.93	20.79	15.33	23.43	17.31	6.54	13.33	15.53	7.82	16.56	7.46
C10orf32	ENST00000339834	4.41	5.11	4.38	5.0	8.09	5.8	26.63	29.93	10.96	7.82	24.1	22.13
C10orf47	ENST00000277570	1.0	1.83	1.09	3.05	8.27	6.57	2.27	2.0	1.48	2.56	7.71	9.4
C10orf54	ENST00000394957	1.57	7.48	3.67	1.0	5.42	1.62	3.15	14.31	18.56	3.58	13.84	1.62
C10orf58	ENST00000372181	4.06	3.93	14.79	7.45	16.86	18.18	3.58	12.66	43.78	23.77	74.08	66.75
C11orf10	ENST00000537328	65.27	76.7	76.87	73.4	114.12	72.48	112.24	298.37	105.35	106.01	174.6	123.4
C11orf2	ENST00000279281	28.96	20.56	37.37	24.49	13.74	22.72	36.31	13.57	27.72	25.65	6.81	14.88
C11orf24	ENST00000304271	51.06	61.14	48.91	55.21	75.75	37.89	8.61	9.81	10.93	18.85	15.46	6.15
C11orf31	ENST00000388857	20.88	24.63	13.22	25.01	33.47	42.48	44.19	81.65	20.79	36.74	25.68	64.47
C11orf46	ENST00000282032	8.53	8.81	8.7	9.79	10.27	8.73	26.27	35.13	15.2	13.25	25.65	21.0
C11orf51	ENST00000543050	20.08	15.73	12.39	19.24	14.46	10.7	6.64	22.1	5.16	4.97	11.53	30.93
C11orf67	ENST00000533193	5.5	8.9	5.04	4.13	11.45	6.51	20.26	25.55	21.66	19.81	27.61	11.49
C11orf68	ENST00000438576	43.69	36.06	41.89	45.16	45.38	56.28	35.85	47.03	43.63	43.65	29.18	48.06
C11orf73	ENST00000278483	28.7	23.7	28.19	30.61	25.9	24.4	27.34	35.04	15.17	23.39	23.86	22.44
C11orf82	ENST00000533655	7.08	4.66	3.58	8.23	1.0	7.73	1.0	1.21	1.0	1.51	1.0	1.17
C12orf23	ENST00000280756	31.22	43.62	47.57	36.99	54.91	33.58	54.4	137.25	97.6	54.36	85.45	76.41
C12orf24	ENST00000377673	14.47	12.6	7.34	14.14	7.5	11.81	23.91	19.12	10.29	7.13	11.95	17.48
C12orf41	ENST00000550347	10.63	10.91	9.41	10.68	9.51	12.65	5.82	12.63	11.71	10.15	8.4	10.71
C12orf44	ENST00000336854	34.88	38.7	41.73	45.29	49.07	39.07	38.94	38.99	38.44	25.48	29.11	23.94
C12orf5	ENST00000179259	11.35	16.36	9.22	15.21	50.41	15.85	34.95	47.8	16.79	24.09	108.75	35.15
C12orf57	ENST00000229281	64.38	63.37	110.35	50.74	75.03	68.48	72.71	54.63	66.37	25.04	29.66	48.19
C12orf62	ENST00000550487	21.12	26.55	25.15	29.62	59.4	29.28	33.04	66.92	31.3	6.73	75.94	33.95
C12orf75	ENST00000443585	305.38	363.6	202.93	228.83	280.92	294.53	488.28	1506.25	268.45	471.62	579.12	826.51
C13orf15	ENST00000379359	1.6	5.4	36.23	3.99	1.15	1.0	1.0	6.33	29.47	3.64	1.0	2.51
C13orf27	ENST00000376032	14.49	12.17	9.49	20.21	8.24	17.68	10.68	20.0	11.12	11.5	9.02	15.41
C14orf1	ENST00000256319	9.6	12.13	41.74	15.37	28.0	11.57	38.13	30.97	114.24	68.06	110.37	35.86
C14orf135	ENST00000406854	27.19	21.67	24.65	27.33	28.92	23.02	7.24	4.1	5.14	6.42	10.92	6.49
C14orf142	ENST00000306954	8.53	5.82	6.91	10.11	6.69	7.64	5.63	16.81	15.02	22.1	7.17	11.59
C14orf166	ENST00000261700	104.69	67.92	102.53	136.72	109.63	90.42	273.97	176.83	151.35	238.88	242.0	181.04
C14orf2	ENST00000554713	10.81	17.09	7.88	11.18	32.42	21.44	153.84	112.07	54.87	96.52	158.8	102.18
C14orf49	ENST00000334258	11.16	8.17	15.35	10.97	4.87	6.98	17.58	13.52	65.49	52.65	9.23	23.53
C14orf80	ENST00000392523	9.98	5.3	4.74	6.56	1.0	10.99	8.62	4.6	7.1	7.2	1.0	6.65
C15orf23	ENST00000249776	52.59	32.52	20.47	44.67	10.03	31.11	100.28	71.93	36.55	58.79	20.29	82.76
C15orf24	ENST00000256545	75.27	77.93	66.2	88.01	199.91	76.81	224.13	138.36	122.23	185.52	496.21	140.92
C15orf40	ENST00000451195	7.52	8.24	6.08	8.15	9.87	8.6	27.18	14.15	10.18	15.94	12.25	6.65
C15orf52	ENST00000559313	24.42	14.4	19.84	23.06	21.82	17.73	15.15	12.33	16.12	32.54	14.52	14.22
C16orf42	ENST00000007390	57.01	32.67	48.13	61.11	51.7	47.02	52.26	26.66	43.78	49.55	23.05	19.64
C16orf45	ENST00000300006	15.25	18.25	30.91	13.02	10.35	22.94	24.75	26.74	36.28	15.79	10.32	32.32
C16orf5	ENST00000399599	7.44	12.79	6.31	7.82	29.25	16.98	8.86	17.18	11.28	8.01	21.35	12.99
C16orf58	ENST00000327237	25.71	26.41	35.21	26.38	14.37	17.64	17.01	38.07	49.04	27.12	14.95	21.22
C16orf61	ENST00000219400	30.05	29.88	20.54	32.47	26.02	38.73	18.75	60.04	13.51	14.65	30.07	48.23
C16orf74	ENST00000284245	4.58	2.24	3.69	16.06	8.74	10.37	1.0	1.0	2.0	31.16	1.51	1.73
C17orf56	ENST00000300714	7.77	5.0	6.14	7.73	7.58	13.49	8.48	3.51	6.64	10.08	4.74	6.27
C17orf61	ENST00000302422	21.58	9.79	25.19	31.85	19.61	17.0	43.23	32.34	40.21	39.15	41.69	25.67
C17orf79	ENST00000302362	51.09	55.32	55.74	69.24	65.44	43.82	61.12	67.14	49.68	50.06	36.03	46.03
C17orf89	ENST00000431388	50.89	38.43	38.1	64.88	78.16	58.68	73.47	65.98	64.35	130.93	66.46	70.96
C18orf25	ENST00000282059	9.05	10.15	6.92	9.52	12.52	10.52	11.51	25.34	17.79	24.58	23.89	21.34
C18orf32	ENST00000318240	18.3	18.47	21.88	22.38	36.85	20.28	35.85	41.59	23.38	14.49	100.11	49.42
C18orf55	ENST00000169551	24.03	17.84	13.66	25.23	9.05	20.35	35.49	13.05	17.46	30.7	14.9	20.09
C19orf28	ENST00000398558	12.46	19.73	18.14	14.04	25.78	11.42	5.85	15.39	20.34	12.63	25.16	7.16
C19orf50	ENST00000540691	73.38	55.31	63.79	86.82	83.13	64.9	34.52	37.28	25.7	37.83	26.03	27.66
C19orf53	ENST00000221576	120.05	80.99	102.38	154.76	131.26	106.75	231.16	231.9	166.51	391.11	152.14	229.63
C19orf55	ENST00000396908	9.93	5.55	5.49	6.6	5.02	7.57	7.08	5.96	8.04	11.16	2.9	5.27
C19orf56	ENST00000222190	86.55	60.62	95.08	93.75	76.74	65.37	174.07	134.21	91.51	110.02	91.54	121.35
C19orf6	ENST00000356663	50.06	48.78	42.09	43.67	88.88	39.93	16.6	15.86	23.13	25.61	43.87	15.55
C19orf66	ENST00000253110	11.0	10.26	20.83	8.99	10.81	14.75	10.42	12.63	25.25	11.46	10.52	14.67
C19orf70	ENST00000309324	45.97	37.02	52.03	50.45	64.99	42.74	186.58	108.85	138.34	85.33	110.31	101.29
C19orf79	ENST00000456958	42.88	45.69	45.56	46.7	61.58	44.5	291.22	241.27	240.17	170.39	231.83	227.25
C1GALT1	ENST00000436587	7.18	7.97	8.28	8.62	13.82	4.93	21.94	27.32	18.69	16.25	115.28	17.4
C1orf135	ENST00000538789	6.16	3.13	2.58	5.19	1.6	4.61	7.61	4.17	1.75	1.0	1.71	5.58
C1orf144	ENST00000375590	85.95	88.05	76.03	84.59	73.39	89.7	45.44	90.62	51.03	80.0	37.55	175.88
C1orf198	ENST00000366663	13.12	32.47	16.08	8.96	17.93	8.93	29.69	66.12	32.32	15.31	26.59	15.33
C1orf216	ENST00000270815	14.8	12.05	17.19	13.92	13.78	11.94	11.52	18.35	27.56	24.02	15.25	14.69
C1orf52	ENST00000471115	11.91	12.75	10.53	12.47	15.37	11.68	23.61	26.78	17.55	13.42	15.36	15.41
C1orf54	ENST00000369102	2.28	6.17	4.05	2.97	2.28	1.23	5.61	30.87	15.99	15.64	7.9	5.24
C1orf55	ENST00000272091	8.58	8.97	7.34	9.28	9.58	9.14	45.86	25.76	21.45	20.61	27.5	27.31
C1orf84	ENST00000310739	4.29	2.83	3.67	2.88	2.6	2.01	3.81	6.7	10.79	9.86	2.56	4.12
C1orf85	ENST00000362007	28.63	44.74	51.2	51.47	115.13	46.35	20.59	43.27	41.64	40.3	142.47	31.38
C1QTNF1	ENST00000354124	1.27	5.2	3.42	1.13	3.89	17.77	1.3	6.48	4.24	1.34	5.26	14.12
C1S	ENST00000406697	9.11	31.75	21.4	4.33	5.17	8.88	18.55	60.2	46.84	8.75	15.06	14.98
C20orf108	ENST00000371384	15.37	15.83	50.97	31.81	23.86	19.61	35.05	36.7	91.47	47.41	32.88	24.26
C20orf112	ENST00000359676	4.47	3.13	4.53	4.24	4.22	12.51	1.57	3.55	5.94	1.66	3.32	8.22
C20orf20	ENST00000370487	42.4	20.04	39.16	49.58	21.32	35.38	12.45	14.67	11.19	21.5	9.9	11.16
C20orf24	ENST00000342422	19.85	10.51	15.91	24.35	28.44	15.07	27.74	21.9	31.79	82.91	25.56	34.92
C20orf29	ENST00000246041	11.71	8.54	11.65	10.54	8.06	9.04	7.76	8.69	18.27	9.44	8.22	5.16
C20orf30	ENST00000342308	74.49	60.87	76.99	80.43	108.06	55.06	30.95	48.25	34.91	16.68	41.89	34.13
C20orf96	ENST00000360321	3.88	1.34	4.03	3.0	2.06	4.11	1.67	1.47	3.12	7.51	1.35	4.02
C22orf13	ENST00000404664	29.2	25.82	31.75	25.69	25.44	28.64	24.88	16.39	15.24	10.56	9.89	19.87
C22orf32	ENST00000331479	9.27	8.37	11.54	9.41	13.49	8.93	34.43	53.91	32.86	18.6	35.15	29.07
C2CD2	ENST00000380486	6.84	6.73	8.8	9.11	6.79	22.53	9.59	4.66	11.59	18.25	8.02	17.64
C3orf26	ENST00000421999	33.78	12.95	20.69	30.76	3.4	14.12	49.03	16.81	17.45	39.25	1.97	8.93
C3orf52	ENST00000431717	3.79	6.67	3.55	6.88	9.66	5.94	2.75	8.51	3.82	4.89	9.24	14.1
C3orf78	ENST00000477703	5.02	3.44	4.52	7.5	11.36	4.88	86.65	82.0	93.25	109.23	115.51	115.8
C4orf49	ENST00000398955	2.95	14.85	2.37	1.0	2.37	2.49	1.24	33.82	6.58	3.01	5.77	6.85
C5orf13	ENST00000395634	10.12	21.58	13.71	5.86	1.41	4.91	20.18	51.95	21.62	7.9	1.54	13.42
C5orf24	ENST00000394976	13.82	19.26	16.48	16.07	22.65	18.31	37.18	49.29	31.0	16.83	47.07	49.42
C5orf30	ENST00000319933	49.55	56.04	34.97	36.37	26.05	10.72	72.75	68.2	56.44	34.23	28.28	13.88
C5orf32	ENST00000261811	15.23	13.04	24.44	27.66	68.24	4.9	39.69	38.12	34.6	15.37	78.36	13.58
C5orf41	ENST00000538538	2.63	4.01	6.39	3.36	5.02	2.1	2.35	5.04	9.6	2.82	8.6	5.05
C5orf43	ENST00000339020	27.14	20.9	25.05	31.61	17.44	21.0	45.59	37.52	39.21	72.9	29.37	83.02
C5orf62	ENST00000526627	22.83	29.37	38.03	47.69	47.91	34.95	6.09	40.56	11.28	22.87	28.98	26.17
C6orf1	ENST00000476320	20.93	20.43	39.02	28.23	18.8	22.77	8.3	11.22	26.01	13.25	7.61	8.98
C6orf115	ENST00000367660	23.41	24.16	35.16	62.02	50.34	29.48	25.04	59.76	19.47	53.75	75.98	60.36
C6orf125	ENST00000374231	80.47	57.99	54.15	75.7	67.4	69.07	208.45	157.39	110.5	172.65	94.47	117.75
C6orf192	ENST00000275227	1.59	2.46	2.07	3.5	5.56	3.31	1.25	2.23	1.47	1.22	7.17	2.27
C6orf48	ENST00000375636	102.93	115.31	109.2	86.33	79.8	85.94	44.16	92.41	40.32	51.81	26.91	51.32
C6orf64	ENST00000229903	5.93	5.37	6.27	5.83	5.17	5.07	3.63	11.87	14.57	2.43	7.25	8.68
C7orf50	ENST00000397098	26.66	18.66	21.33	28.7	39.59	25.4	65.86	85.59	52.11	52.07	72.22	118.99
C7orf58	ENST00000310396	14.91	23.51	22.82	12.26	21.02	9.77	2.67	7.94	7.28	5.0	14.84	4.25
C7orf59	ENST00000441173	11.66	26.73	12.88	13.2	49.48	35.64	88.78	143.44	77.31	107.54	68.25	133.81
C7orf73	ENST00000507606	30.67	44.04	26.63	30.87	37.1	36.83	115.47	291.09	90.56	36.03	114.71	170.74
C8orf33	ENST00000331434	20.28	19.91	17.61	21.13	20.56	25.19	45.8	33.54	25.98	31.05	19.78	27.19
C8orf4	ENST00000315792	4.74	25.07	7.64	11.97	27.45	29.13	15.04	120.61	17.11	14.08	79.89	106.68
C8orf55	ENST00000336138	20.85	9.15	14.05	8.07	3.19	10.07	19.64	14.86	25.5	17.35	3.47	14.39
C8orf59	ENST00000417663	10.97	15.44	9.35	10.65	12.77	11.28	7.47	44.6	14.68	16.91	25.17	30.64
C9orf140	ENST00000409687	11.44	8.33	5.52	4.27	1.0	5.6	11.21	3.81	6.2	3.39	1.0	1.68
C9orf150	ENST00000319264	7.67	2.75	9.95	10.21	20.75	10.27	1.0	3.39	3.41	2.92	7.09	2.91
C9orf16	ENST00000372994	17.26	33.6	22.58	18.03	61.11	24.64	15.41	64.69	26.85	17.93	39.33	32.94
C9orf23	ENST00000297613	6.86	10.51	6.77	9.71	12.23	10.22	15.73	19.82	8.68	12.25	10.07	18.33
C9orf40	ENST00000376854	9.49	9.34	5.27	8.74	4.77	9.88	33.02	24.88	23.39	26.9	9.51	19.24
C9orf41	ENST00000376834	4.91	8.8	6.71	6.87	5.45	9.75	4.25	17.99	7.83	5.31	8.69	11.16
C9orf78	ENST00000372447	25.1	27.05	23.57	34.59	38.0	33.32	55.88	78.13	34.67	59.26	51.06	76.89
CA12	ENST00000178638	1.91	4.68	2.75	3.81	1.0	2.02	3.09	10.11	6.46	7.39	4.74	4.05
CADM1	ENST00000331581	1.0	1.14	1.0	1.0	1.58	5.62	1.0	2.26	2.0	1.0	4.73	16.01
CALD1	ENST00000361675	147.51	367.95	119.07	90.49	254.28	111.06	423.61	924.12	368.95	241.16	676.95	408.44
CALHM2	ENST00000260743	18.51	25.86	24.11	12.22	3.56	12.87	7.51	3.29	4.73	2.24	1.0	1.0
CALM1	ENST00000447653	171.03	177.28	159.33	155.73	151.94	146.7	550.65	496.72	401.4	285.24	450.61	417.98
CALM2	ENST00000409563	359.55	705.54	285.79	347.16	925.12	679.58	1630.95	1778.33	782.62	706.89	1954.36	1662.8
CAMK1G	ENST00000009105	2.53	1.0	5.26	14.33	1.0	6.14	2.0	1.93	7.16	8.66	1.0	11.71
CAMK2D	ENST00000511664	23.6	47.4	20.13	19.02	50.82	11.97	48.31	82.4	40.14	33.64	108.05	24.32
CAMK2N1	ENST00000375078	49.0	52.57	51.4	61.95	102.31	36.08	52.43	100.1	61.44	39.55	67.49	40.75
CAPG	ENST00000263867	23.64	35.13	48.37	24.05	46.95	25.91	63.16	62.0	113.71	39.65	58.54	41.09
CAPZA2	ENST00000361183	43.58	60.66	45.8	51.89	90.84	50.68	104.71	170.9	57.09	69.98	164.18	151.58
CARD9	ENST00000371732	1.0	1.42	1.0	1.0	1.0	5.23	1.0	1.08	1.0	1.25	1.0	3.27
CARHSP1	ENST00000396593	23.65	21.69	18.86	11.9	6.45	18.78	63.38	62.94	34.48	16.59	8.62	47.64
CASC5	ENST00000346991	13.08	10.07	6.52	8.07	1.0	5.67	7.1	10.33	5.29	7.1	1.0	9.65
CASK	ENST00000378163	8.17	10.1	9.17	6.71	6.31	8.33	11.56	8.9	10.47	8.67	12.75	11.97
CASP1	ENST00000533400	4.25	3.75	19.96	10.9	3.31	11.46	7.57	10.66	34.4	26.73	7.08	24.51
CASP3	ENST00000308394	15.18	27.58	15.38	21.52	105.72	41.65	21.74	57.59	18.84	35.72	234.02	76.38
CASP4	ENST00000444739	31.91	21.34	39.3	68.62	46.06	35.02	66.26	35.17	51.0	100.96	70.45	62.72
CASP7	ENST00000369321	9.21	10.23	12.36	9.68	9.87	13.71	17.32	10.37	10.44	6.46	6.28	12.95
CBR3	ENST00000290354	19.78	18.37	20.1	12.85	2.88	12.08	46.49	38.22	44.24	24.89	3.44	24.89
CBX3	ENST00000337620	72.5	65.53	56.6	73.63	43.39	70.78	535.98	445.34	272.9	286.24	229.62	527.82
CBX5	ENST00000209875	32.48	33.46	24.93	24.52	11.19	28.25	236.34	228.68	123.65	89.79	71.39	253.19
CCDC102B	ENST00000360242	1.3	1.45	4.09	1.1	1.0	4.46	1.86	2.64	4.14	1.52	1.0	8.33
CCDC109B	ENST00000394650	4.18	6.03	5.25	2.4	1.0	2.39	1.98	7.49	3.61	1.0	1.0	1.0
CCDC12	ENST00000425441	19.15	16.63	18.91	20.16	9.64	20.74	65.77	68.73	63.48	75.94	19.96	76.28
CCDC134	ENST00000255784	5.34	4.71	4.1	6.17	3.22	4.18	13.77	14.77	28.54	16.25	18.14	20.71
CCDC137	ENST00000329214	35.52	23.52	21.65	40.93	21.37	44.9	61.26	43.66	37.32	71.76	20.09	54.87
CCDC138	ENST00000295124	2.36	1.58	1.0	2.64	1.0	2.33	1.46	2.48	1.02	2.68	1.22	3.84
CCDC165	ENST00000306329	17.12	20.02	11.23	7.76	4.21	11.15	7.15	9.89	7.95	6.04	2.69	7.03
CCDC167	ENST00000373405	9.38	9.36	8.71	10.52	14.92	14.51	17.04	24.46	18.12	27.66	14.86	36.22
CCDC34	ENST00000328697	9.37	5.34	4.7	8.69	1.49	5.32	9.36	9.73	3.52	25.06	1.94	11.45
CCDC53	ENST00000240079	19.06	18.59	24.75	22.42	18.76	14.0	11.12	44.04	22.85	34.05	24.97	23.47
CCDC56	ENST00000328434	51.17	37.06	44.68	58.01	34.06	81.08	54.11	79.35	29.52	22.94	31.69	128.56
CCDC72	ENST00000438607	182.45	150.26	160.71	220.7	249.08	152.53	438.94	901.64	339.85	463.51	496.65	693.86
CCDC80	ENST00000206423	36.6	58.76	30.84	20.29	19.64	9.4	41.89	67.34	37.7	22.65	28.34	14.05
CCDC81	ENST00000445632	3.3	3.41	1.52	2.63	3.41	2.1	4.95	3.27	2.01	1.03	3.55	1.92
CCDC85B	ENST00000312579	69.54	67.79	74.64	46.21	40.82	124.85	52.16	39.2	81.32	40.68	5.57	20.32
CCDC85C	ENST00000380243	10.98	9.15	5.61	5.35	2.81	6.61	8.41	5.2	4.42	2.79	1.31	2.15
CCDC88A	ENST00000436346	13.85	10.85	10.72	12.41	10.32	5.96	7.99	7.8	6.16	8.91	15.68	10.55
CCDC92	ENST00000238156	24.95	27.47	38.86	22.85	42.57	18.13	8.28	14.47	21.06	7.73	10.39	6.41
CCDC99	ENST00000265295	26.78	23.87	9.34	17.89	3.55	18.49	34.53	26.58	10.78	18.78	5.12	22.74
CCHCR1	ENST00000396268	13.37	7.56	6.92	8.26	2.67	8.0	12.44	4.34	6.68	6.91	1.66	3.14
CCL2	ENST00000225831	55.54	80.99	26.97	7.51	15.15	27.71	101.31	194.06	55.05	10.6	45.5	50.02
CCNA2	ENST00000274026	39.92	43.2	17.5	23.35	1.02	34.8	48.73	49.52	14.74	18.17	1.0	40.87
CCNB1	ENST00000256442	116.48	70.44	48.23	82.65	5.65	70.35	184.63	138.06	78.18	83.56	15.76	135.55
CCNB2	ENST00000288207	61.86	39.42	28.64	42.1	2.75	34.99	71.07	53.5	31.34	42.23	3.34	42.35
CCNE1	ENST00000262643	6.38	5.62	3.42	6.29	7.06	7.53	4.44	5.67	3.35	3.94	6.28	6.02
CCNE2	ENST00000520509	4.59	2.99	2.31	2.59	1.0	1.96	13.17	17.13	8.37	11.43	1.0	14.98
CCNF	ENST00000397066	21.73	16.1	8.15	11.38	1.58	14.26	28.76	15.23	10.37	15.88	1.77	13.83
CCNG2	ENST00000316355	1.66	4.77	5.83	1.67	5.43	5.67	2.1	5.63	5.03	5.18	6.05	4.47
CCNI	ENST00000237654	96.51	86.17	95.49	82.04	57.78	90.85	17.57	10.27	10.4	8.41	10.66	12.25
CCNL1	ENST00000295926	22.5	20.93	24.98	22.49	15.02	23.7	6.26	11.05	8.71	19.06	4.01	9.44
CCNYL1	ENST00000295414	10.7	10.8	14.37	12.47	14.18	11.41	2.33	9.7	11.06	10.23	10.3	6.8
CCRL1	ENST00000249887	23.55	84.16	69.92	6.4	8.27	10.05	42.21	276.44	104.6	15.26	42.85	38.21
CD109	ENST00000287097	21.86	43.85	57.19	29.44	23.79	17.77	41.68	101.39	109.56	63.7	104.29	48.49
CD163L1	ENST00000416109	1.26	1.0	1.01	3.52	3.83	1.51	2.51	1.13	1.0	1.37	2.12	1.11
CD248	ENST00000311330	275.9	272.5	263.15	252.83	696.5	498.54	302.76	380.12	386.17	340.79	932.59	472.77
CD274	ENST00000381577	7.53	14.19	3.05	10.22	9.15	14.91	24.73	41.18	7.15	35.47	61.74	44.71
CD276	ENST00000318443	28.61	40.67	50.36	50.43	52.58	60.21	27.42	49.15	70.17	87.29	96.04	69.63
CD2BP2	ENST00000305596	35.28	24.8	31.32	36.15	31.92	31.72	117.75	67.24	61.8	77.33	35.16	57.18
CD40	ENST00000372285	1.0	1.1	1.0	1.0	1.0	4.24	1.0	1.92	3.01	1.0	1.04	6.7
CD46	ENST00000322875	28.64	43.33	53.99	34.25	105.17	55.03	44.47	93.51	102.73	71.41	415.19	130.65
CD82	ENST00000227155	7.86	21.14	15.29	10.68	13.99	55.62	53.32	63.18	85.26	61.41	47.9	173.15
CD9	ENST00000382518	39.5	101.99	101.08	61.99	271.84	53.08	193.13	403.8	471.05	335.49	1438.43	231.34
CDC20	ENST00000372462	215.06	86.15	63.19	152.94	2.19	91.56	250.31	103.92	77.88	130.89	1.74	95.95
CDC25A	ENST00000302506	10.54	7.31	3.62	10.53	1.27	8.25	17.12	5.55	3.74	6.38	1.27	6.94
CDC25B	ENST00000245960	73.47	40.76	42.77	48.58	7.67	67.17	71.88	38.66	44.9	46.29	6.48	57.8
CDC25C	ENST00000534892	6.27	4.99	2.92	3.64	1.0	3.92	8.48	6.92	3.76	5.68	1.0	5.85
CDC42EP3	ENST00000295324	56.96	43.97	47.85	41.15	43.09	57.42	118.31	78.77	78.39	40.7	66.71	84.0
CDC42EP4	ENST00000335793	23.82	20.4	24.57	19.15	6.65	23.63	22.22	16.04	23.82	15.0	3.41	10.96
CDC45	ENST00000437685	20.51	15.73	8.25	13.54	1.0	18.25	28.2	18.95	10.18	18.91	1.0	19.41
CDC6	ENST00000209728	36.61	19.28	16.64	30.18	1.63	34.48	41.99	28.54	19.94	28.15	1.34	47.86
CDCA2	ENST00000330560	12.95	15.95	5.63	9.93	1.0	13.04	11.88	13.27	5.23	6.32	1.0	11.07
CDCA3	ENST00000538862	16.55	7.4	5.25	7.13	1.0	5.09	29.91	21.64	13.21	25.3	1.0	15.04
CDCA4	ENST00000336219	24.46	20.08	11.8	15.86	4.39	18.62	76.94	38.49	33.01	29.74	5.99	29.8
CDCA5	ENST00000404147	29.08	23.72	12.98	24.83	1.09	30.83	28.97	22.21	15.03	17.75	1.0	23.07
CDCA7	ENST00000306721	13.18	7.6	5.73	6.36	1.0	3.65	29.08	10.97	9.51	6.56	1.0	5.31
CDCA8	ENST00000373055	54.69	37.8	18.46	35.33	1.37	35.31	97.09	69.92	34.44	52.42	2.68	58.42
CDCP1	ENST00000296129	1.0	5.16	1.0	2.2	11.78	39.71	1.0	6.84	1.0	2.47	23.72	56.78
CDH11	ENST00000268603	38.11	53.9	30.8	21.74	27.97	30.73	76.4	93.87	69.47	49.35	105.41	57.82
CDH2	ENST00000269141	34.99	57.66	16.17	15.41	5.69	10.76	77.67	159.94	42.23	34.82	33.48	29.07
CDIPT	ENST00000219789	29.64	39.09	35.3	33.28	91.57	33.46	28.92	21.08	30.12	13.04	54.44	19.65
CDK1	ENST00000448257	37.14	35.13	16.66	25.12	1.0	30.54	80.87	96.71	31.14	33.33	1.65	92.68
CDK2	ENST00000553376	55.86	46.75	24.39	38.8	9.02	47.18	79.15	51.31	30.28	48.24	7.93	46.39
CDK5	ENST00000485972	8.53	8.96	9.64	10.82	17.52	11.92	23.85	37.26	12.05	16.19	31.15	32.06
