sym	enstxids	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
NUDT4	ENST00000337179	18.2	23.62	20.35	22.48	25.86	19.37	87.51	72.24	76.93	47.52	91.71	74.27
NUDT6	ENST00000304430	20.23	46.28	10.48	11.25	35.94	19.78	4.01	3.67	2.73	1.0	1.46	3.44
NUDT8	ENST00000376693	1.78	2.54	5.85	1.32	2.67	2.54	2.5	2.25	9.37	2.12	1.35	1.12
NUF2	ENST00000271452	23.73	17.38	11.95	17.9	1.0	15.06	42.5	32.66	22.85	28.08	1.25	40.46
NUMA1	ENST00000393695	61.31	39.01	52.89	38.92	18.54	38.03	110.05	58.88	132.07	88.73	29.94	64.26
NUP35	ENST00000295119	13.19	8.65	7.87	13.0	4.17	13.06	20.97	13.95	10.45	11.77	6.2	12.21
NUP37	ENST00000552283	28.3	22.78	19.82	28.09	11.24	23.63	64.75	42.43	37.12	26.11	17.1	39.71
NUPR1	ENST00000395641	28.03	29.63	73.24	16.64	17.42	1.0	37.0	46.11	98.79	20.44	5.74	2.11
NUSAP1	ENST00000559596	52.33	47.75	26.93	26.13	1.0	38.6	105.44	66.19	42.95	53.65	1.0	54.54
NUTF2	ENST00000219169	58.14	47.21	50.89	59.39	53.11	55.91	178.55	126.97	83.74	129.02	108.44	126.8
NXPH4	ENST00000349394	2.99	2.23	12.68	2.27	2.66	2.7	3.78	3.77	26.31	1.81	5.53	1.29
OAF	ENST00000328965	19.98	24.52	28.49	61.69	39.32	27.69	20.52	21.78	53.51	62.11	34.16	18.74
OAS1	ENST00000445409	2.79	1.0	11.57	1.0	1.0	5.31	2.58	1.0	23.64	2.69	1.0	4.23
OAS2	ENST00000342315	2.0	1.32	7.57	1.0	1.1	4.95	2.77	2.09	10.64	1.0	1.53	7.91
OAS3	ENST00000228928	7.12	5.57	16.01	4.06	1.37	9.3	8.45	5.93	21.04	3.74	1.25	10.59
OASL	ENST00000257570	2.36	1.0	1.0	5.54	1.0	4.97	4.11	1.0	1.48	5.53	1.0	5.43
OAZ1	ENST00000322297	521.82	503.82	526.96	535.5	631.43	323.2	223.5	390.89	191.52	158.81	219.37	176.8
OBFC2A	ENST00000425611	39.32	42.27	27.59	67.27	125.68	62.11	57.0	28.87	20.37	46.54	113.94	52.96
OBFC2B	ENST00000380198	30.06	17.7	25.25	33.93	23.56	23.51	45.53	29.52	23.14	22.63	21.19	26.86
OCIAD2	ENST00000508632	1.0	6.28	1.0	2.4	15.83	6.2	5.0	15.34	1.19	2.16	35.15	12.36
ODC1	ENST00000234111	92.37	65.4	63.01	149.45	93.07	81.31	62.99	43.9	30.13	58.69	62.03	47.11
OGFRL1	ENST00000370435	33.52	20.58	22.91	29.97	62.57	29.15	5.19	8.16	6.43	4.32	25.32	10.07
OIP5	ENST00000220514	9.29	5.48	4.73	6.72	1.0	6.73	13.31	8.65	3.63	10.92	1.0	11.92
OLFML2B	ENST00000367940	7.6	7.01	10.62	7.56	1.0	4.62	10.69	9.42	19.82	13.28	1.16	5.77
OLFML3	ENST00000320334	41.26	57.46	90.56	30.91	14.13	19.47	139.68	146.38	311.19	103.91	53.12	51.78
OLR1	ENST00000309539	2.71	3.63	1.0	1.0	5.14	1.0	4.98	13.99	2.52	1.0	18.4	1.36
OPA3	ENST00000323060	3.51	3.29	3.22	3.67	3.29	5.48	3.19	6.97	11.59	19.42	5.92	5.73
OPTN	ENST00000263036	21.45	39.17	42.48	27.91	98.97	43.25	36.25	70.76	72.42	49.71	149.15	84.61
ORAI1	ENST00000330079	22.92	18.42	26.67	28.63	28.4	28.97	17.55	21.86	20.08	33.77	26.98	21.27
ORAI3	ENST00000318663	5.87	10.45	24.32	6.49	6.91	7.52	2.76	8.69	21.61	2.26	3.92	3.6
ORC1	ENST00000371568	12.75	6.32	5.34	9.78	1.0	7.36	10.8	5.91	4.23	5.83	1.0	7.78
ORC6	ENST00000219097	23.12	16.96	10.75	25.05	3.78	23.82	48.97	34.33	24.04	53.15	6.76	55.21
ORMDL2	ENST00000243045	12.53	13.81	13.66	16.67	41.04	14.34	87.44	118.14	81.31	85.5	292.23	97.79
OSBPL8	ENST00000261183	17.24	17.5	21.42	24.06	22.97	9.71	14.65	15.37	11.92	18.68	29.92	20.42
OSGIN2	ENST00000451899	9.7	7.5	9.08	13.75	15.6	28.66	5.41	7.15	3.2	9.54	16.97	20.13
OSMR	ENST00000274276	21.03	25.2	25.35	22.99	34.94	59.77	27.49	50.05	41.69	51.64	149.83	136.87
OSR2	ENST00000457907	12.88	21.29	15.27	5.56	3.35	8.31	12.76	10.84	13.56	5.53	1.87	3.92
OSTM1	ENST00000193322	14.09	12.19	14.67	21.98	48.71	15.49	48.14	25.63	34.78	35.31	138.58	31.85
OTUD1	ENST00000376495	1.9	1.22	2.71	1.63	1.0	3.79	3.38	1.0	4.03	2.55	1.0	4.14
OXTR	ENST00000316793	87.59	161.71	40.89	19.1	35.51	29.95	158.95	329.28	115.14	37.91	114.65	72.93
P2RX4	ENST00000359949	1.85	3.23	4.72	2.29	3.78	2.32	1.78	2.88	4.76	2.07	5.08	1.31
P4HA1	ENST00000412021	34.75	109.42	61.49	38.69	148.38	47.92	120.72	267.79	154.67	126.19	625.29	138.81
PA2G4	ENST00000303305	181.53	99.49	88.67	162.65	87.21	112.58	340.24	195.66	126.05	216.11	152.01	216.1
PACSIN3	ENST00000539589	18.39	9.71	14.39	11.0	4.58	8.32	35.19	13.24	25.59	17.33	2.8	8.39
PAG1	ENST00000220597	4.39	4.07	5.9	8.23	12.61	7.35	10.66	5.49	10.34	25.38	29.11	14.01
PAICS	ENST00000399688	138.81	82.24	94.71	141.78	38.68	102.47	331.33	207.96	166.71	205.13	99.79	241.38
PAIP1	ENST00000306846	33.35	24.24	30.28	35.63	22.52	29.61	52.81	42.45	29.74	24.41	35.32	40.58
PAK1	ENST00000278568	29.86	18.34	27.88	38.63	12.67	20.7	29.11	17.25	15.53	26.69	9.31	17.68
PALLD	ENST00000505667	11.5	27.09	12.0	6.37	20.13	4.09	16.3	36.47	20.43	15.04	38.75	6.77
PALM2-AKAP2	ENST00000374530	36.05	43.69	43.79	64.78	81.6	47.98	2.61	2.11	1.74	3.44	7.3	2.0
PAMR1	ENST00000278360	37.13	74.64	151.18	52.31	87.93	127.84	58.72	134.96	253.45	111.36	151.33	169.64
PAPOLA	ENST00000216277	54.05	44.56	47.42	61.54	53.53	56.79	8.86	16.84	13.55	21.69	26.22	22.26
PAPPA	ENST00000328252	2.58	4.15	2.95	3.44	15.72	1.68	3.24	6.8	3.91	7.57	37.97	3.17
PAPSS2	ENST00000456849	71.96	141.18	59.55	59.0	260.39	38.21	127.1	261.59	95.82	102.41	538.02	77.89
PAQR4	ENST00000318782	16.78	9.09	10.63	8.57	1.0	8.32	7.2	1.95	5.08	2.85	1.0	1.65
PAQR8	ENST00000442253	2.47	2.85	5.97	2.6	2.31	5.66	3.45	3.69	9.95	1.41	4.16	5.47
PARK7	ENST00000493678	171.94	146.55	164.17	187.17	203.22	169.2	364.09	406.51	243.91	198.8	331.73	388.2
PARL	ENST00000317096	30.39	24.16	26.32	35.1	35.63	27.69	26.83	11.36	12.02	15.86	18.99	11.41
PARP14	ENST00000474629	6.61	6.39	15.68	4.92	2.94	11.13	8.53	9.83	22.6	5.23	4.73	17.5
PARP9	ENST00000360356	4.39	6.2	10.66	2.85	3.16	6.09	4.21	7.6	11.44	3.2	3.53	9.37
PAWR	ENST00000328827	6.33	5.48	3.28	3.42	2.7	2.09	57.54	35.85	26.18	28.31	20.65	13.81
PBK	ENST00000522944	33.6	32.1	15.88	27.99	1.0	30.52	62.91	70.59	28.85	32.91	1.13	60.94
PBX1	ENST00000420696	4.71	12.49	6.76	2.52	1.0	2.88	5.25	21.5	10.7	2.2	1.55	5.12
PBXIP1	ENST00000368463	6.12	22.05	19.19	4.69	18.03	16.87	26.44	61.84	96.21	33.77	60.53	47.8
PCBD1	ENST00000299299	13.93	16.93	19.99	22.81	43.31	19.86	34.05	49.9	23.93	13.82	46.37	52.96
PCDH10	ENST00000264360	4.21	3.48	3.57	1.42	1.0	1.0	2.19	1.72	3.08	1.45	1.0	1.0
PCDH18	ENST00000344876	20.23	33.82	43.15	10.88	9.43	51.14	34.45	42.07	63.88	22.69	25.36	85.98
PCDH9	ENST00000544246	2.29	1.08	1.77	4.16	8.66	4.11	1.92	1.49	1.65	4.6	27.43	7.74
PCDHGC3	ENST00000308177	20.24	23.55	33.51	12.59	6.8	15.31	37.65	36.32	61.16	27.81	11.03	25.56
PCGF2	ENST00000360797	15.87	12.17	15.47	12.7	9.76	19.67	18.82	21.09	16.69	23.93	10.0	17.82
PCK2	ENST00000216780	23.67	15.68	38.14	12.58	14.83	10.49	47.54	18.7	65.24	18.98	15.1	11.79
PCMTD1	ENST00000360540	2.27	3.88	5.2	2.09	4.15	3.28	3.08	9.35	6.05	5.14	7.85	8.77
PCNA	ENST00000379160	164.6	113.94	82.3	91.69	29.34	68.41	350.86	229.06	177.73	152.26	58.18	131.62
PCOLCE	ENST00000223061	182.55	254.94	258.68	129.5	40.35	156.88	405.32	608.49	825.7	413.24	116.69	287.9
PCSK7	ENST00000320934	17.31	29.97	13.15	15.65	31.97	19.29	5.87	5.99	5.05	11.64	12.9	6.36
PCYT2	ENST00000538721	13.4	15.1	45.5	14.2	21.93	17.99	16.43	21.17	74.61	29.95	21.38	20.35
PDAP1	ENST00000350498	78.18	64.47	52.46	76.8	63.47	79.11	242.34	325.21	153.14	286.93	138.52	372.51
PDCD2	ENST00000541970	14.45	10.65	13.46	17.25	13.17	12.99	44.27	26.3	26.93	19.73	24.95	19.67
PDCD4	ENST00000280154	6.43	11.14	14.99	6.54	13.83	8.76	23.11	41.39	59.33	17.33	57.28	31.02
PDCD5	ENST00000419343	34.71	36.51	23.8	34.8	64.04	61.46	140.24	165.7	75.3	132.19	131.07	214.5
PDCD6	ENST00000264933	57.13	63.41	59.47	52.2	80.38	80.93	105.1	107.9	100.2	103.45	85.73	85.78
PDE1C	ENST00000396193	4.39	7.93	3.3	1.38	1.8	3.54	13.97	11.22	7.02	2.54	2.48	7.36
PDE4B	ENST00000329654	3.35	3.27	1.65	4.79	4.15	11.5	3.99	3.36	1.16	4.16	4.95	11.23
PDE5A	ENST00000354960	4.19	22.07	9.69	2.16	10.29	5.23	4.57	28.47	12.53	2.87	23.36	7.44
PDGFC	ENST00000502773	14.4	19.27	14.12	14.08	17.14	15.28	33.75	26.08	20.21	35.64	48.33	25.69
PDGFRA	ENST00000257290	22.25	27.85	58.08	32.12	10.08	71.65	33.45	37.83	90.64	57.23	21.83	106.04
PDGFRB	ENST00000261799	36.18	48.45	59.02	11.4	4.49	60.88	41.94	58.73	103.7	25.0	7.78	70.79
PDGFRL	ENST00000541323	3.2	8.36	16.38	3.21	9.8	3.17	5.37	13.55	34.71	7.72	18.19	7.5
PDK2	ENST00000503176	7.23	9.79	9.29	5.45	9.97	11.99	10.8	15.58	11.46	9.03	13.5	10.89
PDLIM4	ENST00000253754	3.55	2.13	4.04	3.92	1.34	12.05	9.72	5.28	8.93	6.91	1.31	13.67
PDLIM5	ENST00000514743	21.5	45.71	18.19	19.21	28.25	13.92	82.06	159.34	62.11	44.92	99.94	59.08
PDP2	ENST00000311765	6.58	5.63	10.01	8.42	4.2	6.23	13.03	7.78	17.76	16.42	9.24	16.97
PDRG1	ENST00000202017	20.52	15.16	16.21	24.51	27.76	19.41	37.49	36.93	40.29	22.48	53.42	48.05
PDS5B	ENST00000315596	8.76	7.44	7.1	7.14	2.81	6.23	14.63	14.04	11.41	13.68	9.27	20.07
PDSS1	ENST00000376215	9.32	5.4	4.63	10.9	4.15	7.13	6.6	5.95	2.94	7.38	5.02	6.33
PEAK1	ENST00000312493	11.35	15.64	13.15	9.19	7.45	6.89	5.48	8.08	6.87	5.59	5.59	5.33
PEAR1	ENST00000338302	6.13	12.2	6.45	1.23	1.0	4.5	3.94	9.21	8.55	1.0	1.0	1.59
PEF1	ENST00000373703	54.3	40.16	58.12	62.72	47.69	40.68	60.22	53.62	60.75	51.49	45.04	31.74
PEG10	ENST00000482108	57.24	21.48	37.41	31.44	14.01	11.03	138.28	34.23	106.32	54.25	23.65	21.87
