,biocarta,chr,cluster length max,cluster length mean,cluster length median,cluster length min,clusters,cp,go,kegg,mir,modularity data/full-new/net_exp_final.txt,modularity data/full-new/net_mirna_final.txt,modularity data/full-new/net_ppi_unique_nodes_int.txt,modularity data/full-new/net_tf_final.txt,reactome
data/full-new/biCl_red-new_sparse_alt2_c500_CoClustering_tp.csv,0.0874316939891,0.0710382513661,866,58.1366120219,11.0,2,183,0.420765027322,0.75956284153,0.234972677596,0.20218579235,0.107304909538,0.00445943733038,0.0828919400519,0.0196333176304,0.327868852459
data/full-new/biCl_red-new_sparse_alt2_c300_CoClustering_tp.csv,0.0625,0.0520833333333,1656,111.291666667,10.5,2,96,0.395833333333,0.770833333333,0.197916666667,0.125,0.124599402619,0.0051434461725,0.0943727513378,0.023849096436,0.322916666667
data/full-new/biCl_red-new_sparse_alt2_c200_BiClustering_tp.csv,0.120689655172,0.0747126436782,163,61.6781609195,46.5,2,174,0.494252873563,0.844827586207,0.264367816092,0.367816091954,0.011594683953,-0.00240692688336,0.0347438975425,-0.000400209313271,0.379310344828
data/full-new/biCl_red-new_sparse_alt2_c700_CoClustering_tp.csv,0.0798611111111,0.0798611111111,548,36.875,10.5,2,288,0.402777777778,0.826388888889,0.225694444444,0.225694444444,0.0739908939504,0.00181350778366,0.0667254333715,0.0147827945573,0.329861111111
data/full-new/biCl_red-new_sparse_alt2_c900_CoClustering_tp.csv,0.0906735751295,0.0932642487047,341,27.4533678756,10.0,2,386,0.437823834197,0.784974093264,0.240932642487,0.233160621762,0.0574757654996,0.00174102333531,0.0618635241043,0.00977390878409,0.341968911917
data/full-new/biCl_red-new_sparse_alt2_c600_BiClustering_tp.csv,0.104166666667,0.0530303030303,81,20.2386363636,15.0,2,528,0.450757575758,0.869318181818,0.183712121212,0.278409090909,0.00641932219553,-0.00281514582793,0.0353279864403,-0.000939420298905,0.323863636364
data/full-new/biCl_red-new_sparse_alt2_c400_CoClustering_tp.csv,0.119402985075,0.0671641791045,1226,79.5746268657,13.0,2,134,0.410447761194,0.776119402985,0.268656716418,0.171641791045,0.100915451584,0.0035921907675,0.0820860815054,0.0199448524128,0.365671641791
data/full-new/biCl_red-new_sparse_alt2_c250_CoClustering_tp.csv,0.0625,0.075,2200,133.625,9.5,2,80,0.35,0.775,0.2,0.175,0.137983087369,0.00850156494631,0.0857045828094,0.0309626577486,0.3125
data/full-new/biCl_red-new_sparse_alt2_c400_BiClustering_tp.csv,0.0694444444444,0.0611111111111,110,29.7722222222,22.0,2,360,0.472222222222,0.872222222222,0.202777777778,0.286111111111,0.00686644383606,-0.00264466761949,0.0347792204852,8.05584609757e-05,0.35
data/full-new/biCl_red-new_sparse_alt2_c500_BiClustering_tp.csv,0.0954545454545,0.0522727272727,72,24.3136363636,20.0,2,440,0.459090909091,0.85,0.172727272727,0.279545454545,0.0052362518899,-0.0026563804027,0.0343933291183,-0.000682272774578,0.313636363636
data/full-new/biCl_red-new_sparse_alt2_c250_BiClustering_tp.csv,0.121621621622,0.0405405405405,147,48.3333333333,36.5,2,222,0.581081081081,0.891891891892,0.274774774775,0.333333333333,0.0112075801286,-0.00348752813706,0.0370439998235,-0.000209125316684,0.477477477477
data/full-new/biCl_red-new_sparse_alt2_c200_CoClustering_tp.csv,0.0769230769231,0.0615384615385,3449,164.692307692,5.0,2,65,0.307692307692,0.815384615385,0.184615384615,0.0769230769231,0.233439315944,0.00705981990691,0.109570084863,0.0285059342105,0.246153846154
data/full-new/biCl_red-new_sparse_alt2_c225_CoClustering_tp.csv,0.128571428571,0.1,2449,152.871428571,5.5,2,70,0.357142857143,0.871428571429,0.228571428571,0.1,0.165059839518,0.00789128736544,0.105709920595,0.0396484456648,0.3
