"","V1","V2"
"457","ACTN1","PSMD14"
"458","ACTN1","SF3A1"
"459","ACTN1","SRISNF2L"
"460","ACTN1","TEM6"
"461","ACTN1","TENC1"
"462","ACTN1","TNS"
"463","ACTN1","UBE2I"
"464","ACTN1","UBL1"
"465","ACTN2","ADAM12"
"466","ACTN2","DLG1"
"467","ACTN2","DLG4"
"468","ACTN2","DTNA"
"469","ACTN2","DTNB"
"470","ACTN2","DYRK1A"
"471","ACTN2","DYRK1B"
"472","ACTN2","ELP4"
"473","ACTN2","FIGNL1"
"474","ACTN2","FLJ20886"
"475","ACTN2","FLJ33298"
"476","ACTN2","FOXA1"
"477","ACTN2","FOXA2"
"478","ACTN2","FOXA3"
"479","ACTN2","GRAP"
"480","ACTN2","GRIN2B"
"481","ACTN2","GRSF1"
"482","ACTN2","HNRPF"
"483","ACTN2","HNRPH1"
"484","ACTN2","HNRPH2"
"485","ACTN2","HNRPH3"
"486","ACTN2","LDB3"
"487","ACTN2","LIM"
"488","ACTN2","LOC51295"
"489","ACTN2","MYOZ2"
"490","ACTN2","PPP1R12A"
"491","ACTN2","PPP1R12B"
"492","ACTN2","PSMA6"
"493","ACTN2","PSMB3"
"494","ACTN2","PSMB5"
"495","ACTN2","PSMB8"
"496","ACTN2","PSMD14"
"497","ACTN2","SF3A1"
"498","ACTN2","SRISNF2L"
"499","ACTN2","TEM6"
"500","ACTN2","TENC1"
"501","ACTN2","TNS"
"502","ACTN2","UBE2I"
"503","ACTN2","UBL1"
"504","ACTN2","VCL"
"505","ACTN3","FRA11A"
"506","ACTN1","ACTN4"
"507","ACTN2","ACTN4"
"508","ACTN4","ATP6V1B1"
"509","ACTN4","BAIAP1"
"510","ACTN4","CAPN5"
"511","ACTN4","COL17A1"
"512","ACTN4","DTNA"
"513","ACTN4","DTNB"
"514","ACTN4","DYRK1A"
"515","ACTN4","DYRK1B"
"516","ACTN4","ELP4"
"517","ACTN4","FIGNL1"
"518","ACTN4","FLJ20886"
"519","ACTN4","FLJ33298"
"520","ACTN4","FOXA1"
"521","ACTN4","FOXA2"
"522","ACTN4","FOXA3"
"523","ACTN4","GRAP"
"524","ACTN4","GRSF1"
"525","ACTN4","HNRPF"
"526","ACTN4","HNRPH1"
"527","ACTN4","HNRPH2"
"528","ACTN4","HNRPH3"
"529","ACTN4","ITGB1"
"530","ACTN4","LDB3"
"531","ACTN4","LIM"
"532","ACTN4","LOC51295"
"533","ACTN4","MGC20576"
"534","ACTN4","NEB"
"535","ACTN4","PPP1R12A"
"536","ACTN4","PPP1R12B"
"537","ACTN4","PSMA6"
"538","ACTN4","PSMB3"
"539","ACTN4","PSMB5"
"540","ACTN4","PSMB8"
"541","ACTN4","PSMD14"
"542","ACTN4","SF3A1"
"543","ACTN4","SRISNF2L"
"544","ACTN4","TEM6"
"545","ACTN4","TENC1"
"546","ACTN4","TNS"
"547","ACTN4","TRIM3"
"548","ACTN4","UBE2I"
"549","ACTN4","UBL1"
"550","ACTN4","VCL"
"551","ACTR1A","DCTN2"
"552","ACTR1B","DCTN2"
"553","ACTR2","ARP3BETA"
"554","ACTR2","ARPC1A"
"555","ACTR2","ARPC2"
"556","ACTR2","ARPC3B"
"557","ACTR2","MGC3038"
"558","ACTR2","WASF2"
"559","ACTR3","ACTR10"
"560","ACTR2","ACTR3"
"561","ACTR3","ANGPTL2"
"562","ACTR3","ARPC1A"
"563","ACTR3","ARPC2"
"564","ACTR3","ARPC3B"
"565","ACTR3","COG3"
"566","ACTR3","MGC3038"
"567","ACVR1","BMP7"
"568","ACVR1","ENG"
