"","V1","V2"
"704","-","SLC9A1"
"705","SLC2A4","RAB7A"
"706","TYK2","PIK3R1"
"707","CDKN2A","NCL"
"708","PIK3R1","CD28"
"709","PIK3R1","CD7"
"710","CD4","PIK3R1"
"711","PIK3R1","GTF2H1"
"712","PIK3R1","HRAS"
"713","PIK3R1","FES"
"714","SRC","PIK3R1"
"715","TESC","SLC9A1"
"716","PIK3R1","ERBB3"
"717","TGFBR1","PIK3R1"
"718","PIK3R1","TUBG1"
"719","PIK3R1","SH3KBP1"
"720","PIK3R1","WAS"
"721","PIK3R1","ERAS"
"722","PIK3R1","CSF2RA"
"723","ARAF","PIK3R1"
"724","PIK3R1","SYN1"
"725","PIK3R1","RRAS2"
"726","UBTF","CD3EAP"
"727","PIK3R1","MST1R"
"728","PIK3R1","TEK"
"729","PIK3R1","TIE1"
"730","PIK3R1","SHB"
"731","PIK3R1","TYRO3"
"732","PIK3R1","SLC9A2"
"733","PIK3R1","SHC1"
"734","PIK3R1","PTK2"
"735","PIK3R1","IRS2"
"736","PIK3R1","INPP4A"
"737","TAF1A","CD3EAP"
"738","PIK3R1","GHR"
"739","MAPK8","PIK3R1"
"740","PTK2B","PIK3R1"
"741","SLC2A4","CTSD"
"742","PIK3R1","CRKL"
"743","PIK3R1","RAC1"
"744","PIK3R1","TUBA1B"
"745","PIK3R1","IL1RAP"
"746","PIK3R1","ADAM12"
"747","PIK3R1","ARHGAP1"
"748","CAPN3","FLNC"
"749","CD3E","CD3EAP"
"750","PIK3R1","PIK3CD"
"751","PIK3R1","PIK3CB"
"752","PIK3R1","BCAR1"
"753","PIK3R1","IRS4"
"754","SOCS1","PIK3R1"
"755","PIK3R1","CD2AP"
"756","PIK3R1","HGS"
"757","PIK3R1","GAB1"
"758","PIK3R1","TOM1L1"
"759","PIK3R1","TRAT1"
"760","POLR1E","CD3EAP"
"761","PIK3R1","YWHAG"
"762","PIK3R1","AGAP2"
"763","VAV3","PIK3R1"
"764","PIK3R1","GAB2"
"765","PIK3R1","PIK3AP1"
"766","PIK3R1","GAB3"
"767","PIK3R1","CD3E"
"768","PIK3R1","-"
"769","PIK3R1","PPM1A"
"770","PIK3R1","WBP11"
"771","IFNW1","IFNAR1"
"772","SLC2A4","ARF3"
"773","SLC2A4","HK2"
"774","PDGFRB","PIK3CA"
"775","PRKCD","PIK3CA"
"776","HRAS","PIK3CA"
"777","SH3KBP1","PIK3CA"
"778","GNAQ","PIK3CA"
"779","IRS4","PIK3CA"
"780","SLC2A4","SERPINH1"
"781","PIK3R3","PIK3CA"
"782","IFNA2","IFNAR1"
"783","MRAS","PIK3CA"
"784","RASD2","PIK3CA"
"785","GABRB1","PIK3CA"
"786","PRKCA","PFKFB2"
"787","PRKAA2","PFKFB2"
"788","YWHAZ","PFKFB2"
"789","PRKACA","PFKFB2"
"790","PRKAA1","PFKFB2"
"791","SLC2A4","CFL1"
"792","DYNLL1","PFKP"
"793","IFNB1","IFNAR1"
"794","SLC2A4","STRN3"
"795","SLC2A4","MVP"
"796","PFKM","PFKL"
"797","SLC2A4","PDIA6"
"798","SLC2A4","UBA52"
"799","-","SLC2A4"
"800","SLC2A4","DLD"
"801","SLC2A4","BSG"
"802","APOA1","PDE1A"
"803","SLC2A4","HSP90AA1"
"804","PIK3R1","IFNAR1"
"805","SLC2A4","UBE2N"
"806","SLC2A4","KBTBD10"
"807","SLC2A4","ARFIP1"
"808","S100A1","PGM1"
"809","S100B","PGM1"
"810","SLC2A4","LEPRE1"
"811","SLC2A4","ACTN1"
"812","NAA38","PGD"
"813","SLC2A4","MAP1S"
"814","SLC2A4","FAR1"
"815","PTPN11","IFNAR1"
"816","SLC2A4","PSMD7"
"817","S100A1","PLN"
"818","PPP1R3A","PLN"
"819","PRKACA","PLN"
"820","SLN","PLN"
"821","SLC2A4","ESYT2"
"822","PLA2G2A","PLA2G1B"
"823","BGN","PLA2G1B"
"824","PLAA","PLA2G1B"
"825","SLC2A4","C1QTNF5"
"826","PTPN6","IFNAR1"
"827","SLC2A4","CCDC116"
"828","PLA2G2A","PLA2R1"
"829","PLCG1","PDGFRB"
"830","PLCG1","PECAM1"
"831","PLCG1","PDGFRA"
"832","PLCG1","FGFR2"
"833","PLCG1","ZAP70"
"834","PLCG1","GNB2L1"
"835","PLCG1","SOS1"
"836","PLCG1","CD28"
"837","TYK2","IFNAR1"
"838","PLCG1","ITK"
"839","PLCG1","GTF2H1"
"840","PLCG1","SRC"
"841","PLCG1","NTRK1"
"842","PLCG1","NTRK3"
"843","PLCG1","WAS"
"844","PLCG1","SYN1"
"845","PLCG1","SYK"
"846","PLCG1","MST1R"
"847","PLCG1","PITPNA"
"848","MAPK1","IFNAR1"
"849","SLC2A4","FKBP10"
"850","PLCG1","SHB"
"851","PLCG1","DDR1"
"852","PLCG1","PTK2"
"853","PLCG1","IRS2"
"854","PLCG1","PTPRJ"
"855","PLCG1","TUB"
"856","PLCG1","SOS2"
"857","PLCG1","DGKZ"
"858","PLCG1","LCP2"
"859","FURIN","FLNC"
"860","GNB2L1","IFNAR1"
"861","PLCG1","SH3BP2"
"862","PLCG1","LAT"
